report_date,open_interest,mm_long,mm_short,mm_net,mm_net_pct_oi,pm_net,fetched_at
2026-06-09,332709,126280,20417,105863,0.3182,-19300,seed-2026-09-18
2026-06-16,339330,128043,14322,113721,0.3351,-17047,seed-2026-09-18
2026-06-23,352167,131102,15707,115395,0.3277,-9336,seed-2026-09-18
2026-06-30,369541,134577,14486,120091,0.325,-17046,seed-2026-09-18
2026-07-07,371776,134941,18780,116161,0.3124,-20986,seed-2026-09-18
2026-07-14,383689,136905,16126,120779,0.3148,-19149,seed-2026-09-18
2026-07-21,383368,141487,16656,124831,0.3256,-19321,seed-2026-09-18
2026-07-28,384603,135093,15298,119795,0.3115,-20549,seed-2026-09-18
2026-08-04,371551,139809,9043,130766,0.3519,-18856,seed-2026-09-18
2026-08-11,400309,148634,10972,137662,0.3439,-27935,seed-2026-09-18
2026-08-18,406260,154595,12947,141648,0.3487,-29761,seed-2026-09-18
2026-08-25,427957,159819,15072,144747,0.3382,-34558,seed-2026-09-18
2026-09-01,415196,149721,12950,136771,0.3294,-31289,seed-2026-09-18
2026-09-08,411227,145804,10832,134972,0.3282,-30961,seed-2026-09-18
